ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
230,劉威延,桃園市,吉他現場自彈自唱,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2019-01-03/cfb74c8d-c11b-4c88-b977-a1f91c196216/01b5fa0eeb84f9fdcc0478c605dbfd53.jpg
231,陳登杜,桃園市,傳統客家山歌演唱,表演藝術,
232,游祥杰,桃園市,我的紙片會唱歌,表演藝術,
233,蕭可鉅,桃園市,陀螺表演,表演藝術,
234,劉建隆,桃園市,西洋舞台魔術表演,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/856a10d9-7c75-4740-b4ab-e2c5ed4f051a/d6ac3ff28a3ab31ab35199be5a0d6dc8.jpg
235,陳正淳,桃園市,人像剪影、人像速寫,視覺藝術,
236,吳鴻寶,桃園市,Q版人像寫真創作,視覺藝術,
237,謝文山,桃園市,書畫、彩繪,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/bf22c919-5a4d-4ca8-b5b1-22b64b50e96a/a004047edea421ee2f8b876f831fe580.jpg
238,歐英足,桃園市,捏麵人,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/ca29e353-ef2f-43b9-94bc-807ba4c8ef2a/9dbca9fa51cb7648c4124baf65fb2a4b.jpg
239,黃培嘉,桃園市,吸管藝術創作,創意工藝,
240,蘇楓凱,桃園市,鄉土童玩與魔術,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-12-13/efdea694-de64-4b9b-9d91-8d45ddfdb13a/a4601153935fe051a941a55c5ecd6137.jpg
241,王淑媚,彰化縣,花藝、百合花胸花,創意工藝,
242,陳薔,彰化縣,氣球造型,創意工藝,
243,詹雅如,彰化縣,帶狀編織,創意工藝,
244,吳玉秀,彰化縣,造型氣球,創意工藝,
245,黃夢月,彰化縣,種子果實創作,創意工藝,
246,胡沛琪,彰化縣,吸管造型,創意工藝,
247,張舒婷,彰化縣,襪子娃娃,創意工藝,
248,姚嘉勳,彰化縣,皮革創作,創意工藝,
249,洪銀淑,彰化縣,吸管造型,創意工藝,
250,陳麗如,彰化縣,盆栽組合,創意工藝,
251,吳英鈴,彰化縣,布類創作,創意工藝,
252,沈文國,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/7354780a-0627-4423-bf3c-e7f6055bc74b/f829781edf1000778e820c1fe6e12828.JPG
253,施泰山,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/d5015377-a8c2-430c-bf48-20f5ebc6c522/2c89f4c7e683da42cdbf4af37cff31ef.JPG
254,洪志仁,彰化縣,次中音薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/6301bdbe-a9aa-4f69-834f-78a2fc8001ad/ad5ba3f66c31dcdbee4966b6c39fe95b.JPG
255,許寶玉,彰化縣,唱歌、山地舞、歌中劇、主持,表演藝術,
256,傅慶順,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/8fb01dcc-14da-4913-ac76-3902a0000820/1ba8c2b7e65d93033d58afac198cd5bd.JPG
257,賴麗貞,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/f8c10a00-9934-460d-869e-fb190eacda23/0def3a1598ce3eaf8cf21060fb13a083.JPG
258,呂振成,彰化縣,中音薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/79e48d1e-d284-40f3-b51d-defe6d1f2b4e/1dd4b15fd826728280e288450b691311.JPG
259,洪景隆,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/c7ad2e0b-a873-4587-af52-b72e012974be/2f8865d0837f2153bc0a934f5c2713fc.JPG
260,洪經註,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/82179a5e-1298-4277-ba31-d8136fa1b763/4d967152e8c54681a2cbb7f8d8392ddf.JPG
261,謝玉英,彰化縣,薩克斯風,表演藝術,
262,陳根慶,彰化縣,薩克斯風,表演藝術,
263,楊國義,彰化縣,唱歌,表演藝術,
264,連茂鈞,彰化縣,薩克斯風,表演藝術,
265,王榮裕,彰化縣,薩克斯風,表演藝術,
266,林冠廷,彰化縣,薩克斯風,表演藝術,
267,王馨慧,彰化縣,薩克斯風,表演藝術,
268,何寶珠,彰化縣,薩克斯風,表演藝術,
269,賴志民,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/48cedbea-285d-4b0c-8cd3-32f0a1a19350/56735af53e122c69c8e69bd3f9f00f2b.JPG
270,游進楠,彰化縣,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-08-27/0a217353-3d7c-4b01-b720-aa5e7b568b7c/255093dc5e4bb9fbc966543d6d8e27d7.JPG
271,彭立凡,高雄市,吉他演唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2019-06-21/79b0efb2-f703-467f-886e-63b19a0bf3ed/39df3e8674c93e20f1024621c4c9248b.jpg
272,鐘振源,高雄市,紙黏土及明信片,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2019-06-20/535c9bb2-03e1-4031-9f81-8822408f6cd2/7a0ee50aecbc0494433770a1d014ec08.jpg
273,蔣瑗璋,高雄市,原木車枳及椿接,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2019-06-20/5b3ada7f-c252-45aa-9fe7-d4e59c2a329a/4393a7aaaff5b86f2cdb91586f76e4a3.jpg
274,鄭乃嘉,高雄市,捏陶土創作,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2019-06-20/53764cf0-c683-42e4-ba74-c9e6f5241fa8/e08798b08835a03d7b9f7a7d213d43b1.jpg
